frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
0,187200082.4,578.97,1,0,0.5000,0.5000
1,187200708.2,27.06,1,0,0.5000,0.5000
2,187200737.7,36.33,1,0,0.5000,0.5000
3,187200776.1,29.70,1,0,0.5000,0.5000
4,187200809.9,49.61,1,0,0.5000,0.5000
5,187200863.6,35.65,1,0,0.5000,0.5000
6,187200903.0,42.46,1,0,0.5000,0.5000
7,187200948.2,46.76,1,0,0.5000,0.5000
8,187200998.2,43.86,1,0,0.5000,0.5000
9,187201044.6,43.56,1,0,0.5000,0.5000
10,187201091.3,45.19,1,0,0.5000,0.5000
11,187201140.3,32.19,1,0,0.5000,0.5000
12,187201174.7,24.42,1,0,0.5000,0.5000
13,187201201.5,43.05,1,0,0.5000,0.5000
14,187201246.9,51.90,1,0,0.5000,0.5000
15,187201303.0,48.10,1,0,0.6343,0.4119
16,187201354.1,36.10,1,0,0.6364,0.4112
17,187201393.8,31.26,1,0,0.6347,0.4116
18,187201427.7,19.34,1,0,0.6373,0.4110
19,187201448.8,25.43,1,0,0.6358,0.4112
20,187201479.0,20.42,1,0,0.6403,0.4105
21,187201510.0,20.18,1,0,0.6379,0.4102
22,187201531.8,29.37,1,0,0.6407,0.4099
23,187201563.1,23.87,1,0,0.6458,0.4093
24,187201588.9,24.67,1,0,0.6453,0.4072
25,187201615.7,20.09,1,0,0.6490,0.4066
26,187201637.6,38.58,1,0,0.6479,0.4064
27,187201678.2,26.55,1,0,0.6494,0.4061
28,187201712.8,24.29,1,0,0.6513,0.4042
29,187201744.9,27.08,1,0,0.6526,0.4063
30,187201773.7,38.40,1,0,0.6514,0.4041
31,187201814.1,20.79,1,0,0.6520,0.4065
32,187201838.3,28.63,1,0,0.6519,0.4058
33,187201868.9,37.03,1,0,0.6523,0.4047
34,187201908.1,21.27,1,0,0.6536,0.4064
35,187201931.3,40.68,1,0,0.6537,0.4065
36,187201973.6,30.83,1,0,0.6533,0.4051
37,187202006.4,20.88,1,0,0.6532,0.4054
38,187202029.2,46.95,1,0,0.6532,0.4054
39,187202077.9,31.55,1,0,0.6531,0.4045
40,187202111.5,28.99,1,0,0.6532,0.4048
41,187202142.5,33.99,1,0,0.6550,0.4046
42,187202178.5,19.09,1,0,0.6539,0.4054
43,187202199.3,33.68,1,0,0.6536,0.4048
44,187202235.0,27.41,1,0,0.6534,0.4051
45,187202264.1,31.25,1,0,0.6527,0.4053
46,187202297.0,28.30,1,0,0.6540,0.4044
47,187202327.2,33.14,1,0,0.6554,0.4054
48,187202362.3,30.84,1,0,0.6537,0.4037
49,187202395.2,26.40,1,0,0.6539,0.4059
50,187202423.6,46.59,1,0,0.6538,0.4038
51,187202471.9,35.69,1,0,0.6536,0.4050
52,187202525.4,19.56,1,0,0.6535,0.4044
53,187202546.7,21.05,1,0,0.6530,0.4053
54,187202569.7,28.75,1,0,0.6522,0.4043
55,187202600.1,42.63,1,0,0.6532,0.4051
56,187202644.7,31.28,1,0,0.6529,0.4052
57,187202678.0,27.92,1,0,0.6522,0.4048
58,187202708.0,31.22,1,0,0.6528,0.4059
59,187202741.2,19.47,1,0,0.6531,0.4059
60,187202762.5,42.43,1,0,0.6520,0.4043
61,187202806.7,22.82,1,0,0.6527,0.4056
62,187202831.5,40.02,1,0,0.6511,0.4056
63,187202873.5,38.69,1,0,0.6539,0.4049
64,187202914.2,21.87,1,0,0.6534,0.4071
65,187202937.7,31.99,1,0,0.6539,0.4043
66,187202971.6,40.33,1,0,0.6537,0.4068
67,187203013.7,20.21,1,0,0.6526,0.4049
