frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
0,188324819.5,602.07,1,0,0.5000,0.5000
1,188325501.2,59.92,1,0,0.5000,0.5000
2,188325565.3,59.41,1,0,0.5000,0.5000
3,188325629.1,58.10,1,0,0.5000,0.5000
4,188325692.4,53.71,1,0,0.5000,0.5000
5,188325750.3,56.57,1,0,0.5000,0.5000
6,188325810.7,56.55,1,0,0.5000,0.5000
7,188325871.0,47.78,1,0,0.5000,0.5000
8,188325923.4,58.72,1,0,0.5000,0.5000
9,188325986.5,57.80,1,0,0.5000,0.5000
10,188326047.0,61.60,1,0,0.5000,0.5000
11,188326112.9,53.70,1,0,0.5000,0.5000
12,188326170.8,43.76,1,0,0.5000,0.5000
13,188326218.6,60.61,1,0,0.5000,0.5000
14,188326285.3,57.15,1,0,0.5000,0.5000
15,188326346.9,107.51,1,0,0.5520,0.4718
16,188326464.9,135.56,1,0,0.5883,0.4523
17,188326611.9,146.21,1,0,0.6138,0.4384
18,188326772.0,21.34,1,0,0.6314,0.4286
19,188326800.5,20.61,1,0,0.6439,0.4217
20,188326824.0,19.66,1,0,0.6527,0.4170
21,188326845.3,21.89,1,0,0.6588,0.4137
22,188326868.8,21.28,1,0,0.6632,0.4113
23,188326891.9,26.27,1,0,0.6663,0.4096
24,188326920.1,23.65,1,0,0.6684,0.4084
25,188326945.8,27.16,1,0,0.6699,0.4075
26,188326975.0,25.91,1,0,0.6710,0.4069
27,188327002.4,32.18,1,0,0.6717,0.4065
28,188327036.4,38.40,1,0,0.6722,0.4062
29,188327076.7,31.40,1,0,0.6726,0.4060
30,188327109.9,21.66,1,0,0.6728,0.4058
31,188327143.9,21.63,1,0,0.6731,0.4056
32,188327167.5,42.74,1,0,0.6731,0.4055
33,188327212.2,30.95,1,0,0.6741,0.4052
34,188327245.1,28.67,1,0,0.6775,0.4047
35,188327275.5,30.72,1,0,0.6834,0.4034
36,188327308.1,30.23,1,0,0.6914,0.4011
37,188327340.4,28.55,1,0,0.7003,0.3984
38,188327371.1,30.58,1,1,0.7080,0.3954
39,188327403.4,28.57,1,1,0.7134,0.3927
40,188327441.4,24.29,1,1,0.7157,0.3909
41,188327467.6,30.57,1,1,0.7163,0.3934
42,188327499.9,31.24,1,1,0.7227,0.4270
43,188327532.8,29.29,1,1,0.7114,0.4583
