frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
0,188521470.8,872.69,1,0,0.5000,0.5000
1,188522378.1,14.66,1,0,0.5000,0.5000
2,188522395.8,19.31,1,0,0.5000,0.5000
3,188522420.6,18.46,1,0,0.5000,0.5000
4,188522441.3,23.24,1,0,0.5000,0.5000
5,188522467.9,29.10,1,0,0.5000,0.5000
6,188522500.2,33.88,1,0,0.5000,0.5000
7,188522536.6,21.49,1,0,0.5000,0.5000
8,188522561.8,18.91,1,0,0.5000,0.5000
9,188522583.4,51.77,1,0,0.5000,0.5000
10,188522639.2,33.70,1,0,0.5000,0.5000
11,188522677.6,24.10,1,0,0.5000,0.5000
12,188522704.2,24.90,1,0,0.5000,0.5000
13,188522733.7,22.27,1,0,0.5000,0.5000
14,188522761.4,15.29,1,0,0.5000,0.5000
15,188522779.7,53.39,1,0,0.5014,0.5103
16,188522836.7,34.18,1,0,0.5027,0.5202
17,188522872.9,20.15,1,0,0.5041,0.5296
18,188522907.1,19.67,1,0,0.5054,0.5385
19,188522930.8,21.72,1,0,0.5066,0.5469
20,188522954.5,20.05,1,0,0.5078,0.5548
21,188522981.4,36.71,1,0,0.5088,0.5624
22,188523020.1,19.78,1,0,0.5099,0.5695
23,188523041.8,53.14,1,0,0.5109,0.5764
24,188523096.9,21.51,1,0,0.5117,0.5829
25,188523120.3,38.04,1,0,0.5126,0.5891
26,188523160.3,19.72,1,0,0.5135,0.5950
27,188523181.9,39.80,1,0,0.5145,0.6003
28,188523224.0,21.31,1,0,0.5154,0.6055
29,188523247.9,37.08,1,0,0.5170,0.6095
30,188523286.9,20.41,1,0,0.5182,0.6136
31,188523313.3,37.24,1,0,0.5207,0.6167
32,188523352.6,21.76,1,0,0.5228,0.6201
33,188523376.1,38.31,1,1,0.5258,0.6218
34,188523416.4,21.85,1,1,0.5285,0.6243
35,188523440.2,50.98,1,1,0.5316,0.6236
36,188523492.8,20.48,1,1,0.5344,0.6241
37,188523514.9,36.86,1,1,0.5382,0.6230
38,188523560.5,21.54,1,1,0.5414,0.6229
39,188523583.8,34.02,1,1,0.5456,0.6222
40,188523619.8,19.94,1,1,0.5490,0.6221
41,188523641.5,40.23,1,1,0.5531,0.6221
42,188523686.0,20.39,1,1,0.5566,0.6221
43,188523707.9,38.59,1,1,0.5601,0.6228
44,188523748.3,22.70,1,1,0.5633,0.6230
45,188523772.9,41.02,1,1,0.5660,0.6233
46,188523815.9,18.77,1,1,0.5686,0.6235
